    52 Europa             E. Bowell        6.31  0.18 0.66 302.5 C       0   0   0   0   0   0 54721 1894 20101031  35.826933 343.964447 128.754444  7.480840 0.10651372   3.09702334 20100816 1.8E-02  3.3E-05 20100919 3.5E-02 20110305 3.8E-02 20160119 3.9E-02 20201203
    53 Kalypso            E. Bowell        8.81  0.15 0.71 115.4         0   0   0   0   0   0 51283 1178 20101031  62.452960 313.503420 143.590251  5.168810 0.20525453   2.61817445 20100708 1.9E-02  3.7E-05 20100919 5.0E-02 20110507 6.4E-02 20131109 6.4E-02 20131109
    54 Alexandra          E. Bowell        7.66  0.15 0.70 165.8 C       0   0   0   0   0   0 53640 1044 20101031  52.587793 345.775479 313.416007 11.800202 0.19761796   2.71267656 20100908 5.2E-02  5.9E-07 20100919 5.2E-02 20100920 7.2E-02 20140703 7.1E-02 20140703
    55 Pandora            E. Bowell        7.8   0.15 0.69  66.7 E?      0   0   0   0   0   0 53350 1359 20101031  56.744878   3.624780  10.451268  7.188418 0.14342149   2.75866476 20091220 2.5E-02  1.2E-04 20100919 4.0E-02 20101229 4.8E-02 20180727 4.8E-02 20180727
    56 Melete             E. Bowell        8.31  0.15 0.69 113.2 l       0   0   0   0   0   0 52892 1132 20101031 237.755511 103.634268 193.426854  8.069983 0.23738432   2.59668499 20100807 2.2E-02  1.5E-05 20100919 4.6E-02 20110408 7.5E-02 20160908 8.4E-02 20200803
    57 Mnemosyne          E. Bowell        7.03  0.15 0.83 112.6 S       0   0   0   0   0   0 54960 1322 20101031 316.457718 211.364911 199.236542 15.213469 0.11745064   3.15562747 20100630 4.4E-02 -1.4E-04 20100919 4.6E-02 20100829 4.8E-02 20161003 4.8E-02 20161003
    58 Concordia          E. Bowell        8.86  0.15 0.69  93.4 C       0   0  16   0   0   0 53405 1149 20101031 328.221714  32.420017 161.186960  5.060566 0.04463215   2.70032942 20100903 2.3E-02  3.7E-05 20100919 5.6E-02 20110408 6.1E-02 20200422 6.1E-02 20200422
    59 Elpis              E. Bowell        7.93  0.15 0.67 164.8 C       0   0   0   0   0   0 50910 1133 20101031 194.745538 211.628752 170.154222  8.633977 0.11723786   2.71399349 20100708 2.0E-02 -2.4E-05 20100919 4.3E-02 20110611 5.6E-02 20121008 5.6E-02 20121008
    60 Echo               E. Bowell        8.21  0.27 0.85  60.2 S       0   0   0   0   0   0 52711 1228 20101031 103.065870 271.108060 191.640899  3.601749 0.18345065   2.39305897 20100811 2.0E-02 -2.2E-05 20100919 4.1E-02 20110620 5.2E-02 20161119 6.0E-02 20210119
    61 Danae              E. Bowell        7.68  0.15 0.85  82.0 S       0   0   0   0   0   0 52929  765 20101031  38.042335  13.164156 333.755914 18.219774 0.16864152   2.98188837 20100908 5.8E-02  3.1E-04 20100919 6.9E-02 20101108 7.6E-02 20151021 7.6E-02 20140622
    62 Erato              E. Bowell        8.76  0.15 0.71  95.4 C?      0   0   0   0   0   0 36257 1233 20101031  50.824228 273.649270 125.589569  2.229988 0.17208710   3.12565491 20100307 3.3E-02  1.0E-04 20100919 5.3E-02 20110115 6.8E-02 20151121 6.8E-02 20151121
    63 Ausonia            E. Bowell        7.55  0.25 0.90 103.1 S       0   0   0   0   0   0 54601 1607 20101031  35.144737 296.038796 337.895743  5.785614 0.12561018   2.39552589 20100908 3.0E-02 -2.2E-04 20100919 3.7E-02 20111121 4.6E-02 20140817 5.4E-02 20210602
    64 Angelina           E. Bowell        7.67  0.48 0.75       E       0   0   0   0   0   0 54499 1265 20101031  62.173288 179.428463 309.202691  1.309479 0.12602803   2.68211047 20100630 1.7E-02 -5.1E-06 20100919 4.4E-02 20110605 5.1E-02 20131211 5.1E-02 20131211
    65 Cybele             E. Bowell        6.62  0.01 0.67 237.3 C       0   0   0   0   0   0 54584 1683 20101031 138.990131 103.037397 155.662530  3.562749 0.10890210   3.42862596 20100908 2.5E-02  1.1E-04 20100919 3.2E-02 20101202 5.1E-02 20200602 5.1E-02 20200602
    66 Maja               E. Bowell        9.36  0.15 0.71  72.8 C       0   0   0   0   0   0 39110 1149 20101031  29.938884  43.563940   7.565789  3.048029 0.17077171   2.64598520 20100109 2.9E-02  1.1E-04 20100919 5.3E-02 20110119 6.5E-02 20141207 6.5E-02 20141207
    67 Asia               E. Bowell        8.28  0.15 0.86  58.1 S       0   0   0   0   0   9 53361 1231 20101031 188.584918 106.216075 202.669490  6.027283 0.18465057   2.42161898 20100418 2.1E-02  4.7E-05 20100919 4.0E-02 20110224 7.5E-02 20120715 7.5E-02 20120715
